"from","to"
"Klebsiella.aerogenes.PTR","ARO.3003948efrA"
"Klebsiella.aerogenes.PTR","ARO.3000516emrR"
"Klebsiella.aerogenes.PTR","ARO.3003950msbA"
"Klebsiella.aerogenes.PTR","ARO.3003952yojI"
"Klebsiella.aerogenes.PTR","ARO.3002986bacA"
"Klebsiella.aerogenes.PTR","ARO.3004290Escherichia.1"
"Klebsiella.aerogenes.PTR","ARO.3001214mdtM"
"Klebsiella.aerogenes.PTR","ARO.3000216acrB"
"Klebsiella.aerogenes.PTR","ARO.3004043Escherichia"
"Klebsiella.aerogenes.PTR","ARO.3003841kdpE"
"Klebsiella.aerogenes.PTR","ARO.3000792mdtA"
"Klebsiella.aerogenes.PTR","ARO.3000793mdtB"
"Klebsiella.aerogenes.PTR","ARO.3000794mdtC"
"Klebsiella.aerogenes.PTR","ARO.3003578pmrF"
"Klebsiella.aerogenes.PTR","ARO.3000833evgS"
"Klebsiella.aerogenes.PTR","ARO.3000074emrB"
"Klebsiella.aerogenes.PTR","ARO.3000499acrE"
"Klebsiella.aerogenes.PTR","ARO.3000502acrF"
"Klebsiella.aerogenes.PTR","ARO.3000796mdtF"
"Klebsiella.aerogenes.PTR","ARO.3001216mdtH"
"Klebsiella.aerogenes.PTR","ARO.3003577ugd"
"Klebsiella.aerogenes.PTR","ARO.3000656acrS"
"Klebsiella.aerogenes.PTR","ARO.3002897SAT.4"
"Klebsiella.aerogenes.PTR","ARO.3000347ErmA"
"Klebsiella.aerogenes.PTR","ARO.3000251msrA"
"Klebsiella.aerogenes.PTR","ARO.3000521mupA"
"Klebsiella.aerogenes.PTR","ARO.3004039Escherichia"
"Klebsiella.aerogenes.PTR","ARO.3000191tetQ"
"Staphylococcus.epidermidis.PTR","Escherichia.coli.abundance"
"Staphylococcus.epidermidis.PTR","Escherichia.coli.PTR"
"Staphylococcus.epidermidis.PTR","Klebsiella.aerogenes.abundance"
"Staphylococcus.epidermidis.PTR","Klebsiella.aerogenes.PTR"
"Staphylococcus.epidermidis.PTR","Staphylococcus.epidermidis.PTR"
"Staphylococcus.epidermidis.PTR","Enterococcus.faecium.abundance"
"Staphylococcus.epidermidis.PTR","Enterococcus.faecium.PTR"
"Staphylococcus.epidermidis.PTR","Citrobacter.freundii.abundance"
"Staphylococcus.epidermidis.PTR","Citrobacter.freundii.PTR"
"Staphylococcus.epidermidis.PTR","Klebsiella.pneumoniae.abundance"
"Staphylococcus.epidermidis.PTR","Klebsiella.pneumoniae.PTR"
"Staphylococcus.epidermidis.PTR","Klebsiella.variicola.abundance"
"Staphylococcus.epidermidis.PTR","Klebsiella.variicola.PTR"
"Staphylococcus.epidermidis.PTR","Enterobacter.cloacae.abundance"
"Staphylococcus.epidermidis.PTR","Enterobacter.cloacae.PTR"
"Staphylococcus.epidermidis.PTR","Bifidobacterium.longum.abundance"
"Staphylococcus.epidermidis.PTR","Bifidobacterium.longum.PTR"
"Staphylococcus.epidermidis.PTR","Enterobacter.roggenkampii.abundance"
"Staphylococcus.epidermidis.PTR","Enterobacter.roggenkampii.PTR"
"Staphylococcus.epidermidis.PTR","Enterococcus.faecalis.abundance"
"Staphylococcus.epidermidis.PTR","Enterococcus.faecalis.PTR"
"Staphylococcus.epidermidis.PTR","Klebsiella.quasipneumoniae.abundance"
"Staphylococcus.epidermidis.PTR","Klebsiella.quasipneumoniae.PTR"
"Staphylococcus.epidermidis.PTR","Klebsiella.michiganensis.abundance"
"Staphylococcus.epidermidis.PTR","Klebsiella.michiganensis.PTR"
"Staphylococcus.epidermidis.PTR","Clostridium.perfringens.abundance"
"Staphylococcus.epidermidis.PTR","Clostridium.perfringens.PTR"
"Staphylococcus.epidermidis.PTR","Klebsiella.oxytoca.abundance"
"Staphylococcus.epidermidis.PTR","Klebsiella.oxytoca.PTR"
"Staphylococcus.epidermidis.PTR","Bacteroides.fragilis.abundance"
"Staphylococcus.epidermidis.PTR","Bacteroides.fragilis.PTR"
"Staphylococcus.epidermidis.PTR","Enterobacter.hormaechei.abundance"
"Staphylococcus.epidermidis.PTR","Enterobacter.hormaechei.PTR"
"Staphylococcus.epidermidis.PTR","Enterobacter.sp..HK169.abundance"
"Staphylococcus.epidermidis.PTR","Enterobacter.sp..HK169.PTR"
"Staphylococcus.epidermidis.PTR","Enterobacter.asburiae.abundance"
"Staphylococcus.epidermidis.PTR","Enterobacter.asburiae.PTR"
"Staphylococcus.epidermidis.PTR","Klebsiella.sp..M5al.abundance"
"Staphylococcus.epidermidis.PTR","Klebsiella.sp..M5al.PTR"
"Staphylococcus.epidermidis.PTR","Veillonella.parvula.abundance"
"Staphylococcus.epidermidis.PTR","Veillonella.parvula.PTR"
"Staphylococcus.epidermidis.PTR","Enterobacter.sp..DKU_NT_01.abundance"
"Staphylococcus.epidermidis.PTR","Enterobacter.sp..DKU_NT_01.PTR"
"Staphylococcus.epidermidis.PTR","Enterobacter.sp..CRENT.193.abundance"
"Staphylococcus.epidermidis.PTR","Enterobacter.sp..CRENT.193.PTR"
"Staphylococcus.epidermidis.PTR","Enterobacteriaceae.bacterium.S05.abundance"
"Staphylococcus.epidermidis.PTR","Enterobacteriaceae.bacterium.S05.PTR"
"Staphylococcus.epidermidis.PTR","Citrobacter.abundance"
"Staphylococcus.epidermidis.PTR","Citrobacter.PTR"
